25,Telangana,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
i,"Singareni Coal field,Kothagudem, BhadradriDist.",906.0,70.0,833.0,903.0,3.0
26,Tripura,,,,,
27,Uttarakhand,,,,,
28,Uttar Pradesh,,,,,
29,West Bengal,,,,,
i,"Eastern CoalfieldsLimited, Burdwan",284.0,31.0,234.0,265.0,18.0
30,"Andaman & NicobarIslands",,,,,
31,UT Chandigarh,,,,,
32,Dadra & Nagar Havelli,,,,,
33,Daman & Diu,,,,,
34,Delhi,,,,,
35,Lakshadweep,,,,,
36,Puducherry,,,,,
Total,4039,460.0,3372.0,3831.0,208.0,
